1, 2
2, 3
2, 4
2, 13
3, 8
4, 5
4, 9
5, 6
5, 51
6, 7
6, 61
7, 8
7, 50
7, 49
9, 10
9, 11
10, 11
10, 16
11, 12
12, 13
12, 14
14, 15
15, 16
16, 17
16, 22
17, 18
18, 19
18, 21
19, 20
19, 50
20, 21
21, 23
22, 23
23, 27
23, 24
24, 25
24, 33
24, 32
25, 26
25, 32
26, 27
27, 28
28, 29
29, 30
29, 31
30, 32
31, 32
32, 33
33, 34
33, 40
34, 35
35, 36
36, 37
37, 50
37, 38
38, 39
39, 40
39, 41
41, 42
42, 43
43, 44
44, 45
44, 48
45, 46
46, 47
47, 48
48, 49
49, 50
51, 52
52, 53
53, 54
54, 55
55, 56
55, 58
57, 58
58, 59
59, 60
60, 61
